Lista de Precios de Update Plus ,,,,,,,
29 de abril al 26 de mayo de 2020,,,,,,,
"Estos precios aplican cuando el cliente activa  una línea o más en cualquier plan mensual en Update
",,,,,,,
,,,,,,,
Lista de Precios de  Financiamiento- Celulares PYMES/CORP,,,,,,,
28 de mayo al 31 de julio de 2026,,,,,,,
"Estos precios aplican cuando el cliente activa  una línea o más en cualquier plan mensual en  Update o Financiamiento
",,,,,,,
,,,,,,,
NOTA: Los equipos subrayados en azul salieron de portafolio y no vienen más. ,,,,,,,
 Item Code SIF,Número de Material SAP - Aplica solo a Canal Indirecto,Modelo, Precio Regular,Mensualidad 20 meses,Mensualidad 24 meses,Mensualidad 30 meses,Mensualidad 36 meses
,,Price code?,SUBREG,SWCH20/FIUP20,SWCH24/FIUP24,SWCH30/FIUP30,SWCH36/FIUP36
33750H,7013460,SAMSUNG A07 64GB A075M BLACK*,$119.99,$6.00,$5.00,$4.00,$3.33
33751H,7013461,SAMSUNG A07 64GB A075M LIGHT VIOLET*,$119.99,$6.00,$5.00,$4.00,$3.33
33752H,7013462,SAMSUNG A07 64GB A075M GREEN*,$119.99,$6.00,$5.00,$4.00,$3.33
33693H,7013259,MOTO G 2025XT2513-1 128GB  DARKEST SPRUCE ,$149.99,$7.50,$6.25,$5.00,$4.17
33927H,7013888,SAMSUNG A17 5G A176U 128GB Black,$199.99,$10.00,$8.33,$6.67,$5.56
33928H,7013889,SAMSUNG A17 5G A176U 128GB Blue,$199.99,$10.00,$8.33,$6.67,$5.56
33673H,7013135,SAMSUNG GALAXY A26 A266U 128GB BLACK *,$259.99,$13.00,$10.83,$8.67,$7.22
33694H,7013260,MOTO G POWER 2025 XT2515-1 128GB  JUNIPER ,$279.99,$14.00,$11.67,$9.33,$7.78
33695H,7013261,MOTO G POWER 2025 XT2515-1 128GB GRISAILLE ,$279.99,$14.00,$11.67,$9.33,$7.78
33648H,7013131,SAMSUNG GALAXY A36 A366U 128GB BLACK*,$349.99,$17.50,$14.58,$11.67,$9.72
33649H,7013132,SAMSUNG GALAXY A36 A366U 128GB LIGHT GREEN *,$349.99,$17.50,$14.58,$11.67,$9.72
33650H,7013133,SAMSUNG GALAXY A36 A366U 128GB LIGHT VIOLET *,$349.99,$17.50,$14.58,$11.67,$9.72
33979H,7014074,SAMSUNG GXY A37 A376U 128GB DARK GREEN,$349.99,$17.50,$14.58,$11.67,$9.72
33980H,7014075,SAMSUNG GXY A37 A376U 128GB GRAY,$349.99,$17.50,$14.58,$11.67,$9.72
33981H,7014106,SAMSUNG GXY A37 128GB  LIGHT VIOLET ,$349.99,$17.50,$14.58,$11.67,$9.72
33982H,7014107,SAMSUNG GXY A37 128GB  WHITE,$349.99,$17.50,$14.58,$11.67,$9.72
33926H,7013890,MOTOROLA EDGE 2025 XT2519-1 DEEP FOREST,$429.99,$21.50,$17.92,$14.33,$11.94
33641H,7013117,IPH 16e 128GB BLACK*,$599.99,$30.00,$25.00,$20.00,$16.67
33642H,7013118,IPH 16e 128GB WHITE*,$599.99,$30.00,$25.00,$20.00,$16.67
